timestamp,elapsed_sec,CC,RC,SC,CC_avg,RC_avg,SC_avg,ΔCC,ΔRC,ΔSC
1769151972.765206,0.5685181617736816,59,56,58,,,,,,
1769151972.832725,0.6363589763641357,59,56,58,,,,,,
1769151972.8962922,0.6997652053833008,59,56,58,,,,,,
1769151972.948765,0.7523858547210693,59,56,58,,,,,,
1769151973.00496,0.8086140155792236,60,55,59,,,,,,
1769151973.0676842,0.8709180355072021,59,56,58,,,,,,
1769151973.251494,1.0550649166107178,59,56,57,,,,,,
1769151973.30304,1.1065728664398193,59,56,58,,,,,,
1769151973.348753,1.1523349285125732,59,56,58,,,,,,
1769151973.395477,1.1989400386810303,59,56,58,,,,,,
1769151973.4361238,1.2396519184112549,59,56,57,,,,,,
1769151973.480603,1.284235954284668,59,56,57,,,,,,
1769151973.544744,1.3481462001800537,59,56,57,,,,,,
1769151973.594183,1.3977580070495605,60,56,58,,,,,,
1769151973.641825,1.4453449249267578,59,56,57,,,,,,
1769151973.688202,1.4917869567871094,59,56,57,,,,,,
1769151973.737011,1.5406150817871094,59,56,58,,,,,,
1769151973.7815628,1.5851402282714844,60,56,58,,,,,,
1769151973.829406,1.6329939365386963,59,56,57,,,,,,
1769151973.875804,1.6792869567871094,60,56,58,,,,,,
1769151973.9212859,1.7247929573059082,59,57,57,,,,,,
1769151973.971328,1.7749788761138916,58,57,56,,,,,,
1769151974.020607,1.824207067489624,60,56,58,,,,,,
1769151974.0707798,1.874330997467041,61,55,59,,,,,,
1769151974.1208498,1.9243690967559814,60,56,58,,,,,,
1769151974.169517,1.9731419086456299,59,56,57,,,,,,
1769151974.224127,2.0268990993499756,60,56,57,,,,,,
1769151974.2723782,2.0758628845214844,60,56,57,,,,,,
1769151974.3216121,2.1252059936523438,59,56,57,,,,,,
1769151974.369021,2.1726932525634766,60,56,58,,,,,,
1769151974.421569,2.2249650955200195,60,56,58,,,,,,
1769151974.472557,2.276210069656372,59,57,57,,,,,,
